X,Y,R,T,long
-1.13437e-09,-2.50112e-12,1.08208e-09,-179.88,486
-1.12119e-09,-3.41062e-12,1.06912e-09,-179.82,485
-1.11164e-09,-5.00225e-12,1.05957e-09,-179.742,484
-1.10368e-09,-5.68437e-12,1.05161e-09,-179.706,483
-1.09709e-09,-6.36649e-12,1.04524e-09,-179.664,482
-1.09345e-09,-8.18551e-12,1.04161e-09,-179.58,481
-1.09186e-09,-9.32238e-12,1.04024e-09,-179.52,480
-1.09299e-09,-1.00045e-11,1.04161e-09,-179.478,479
-1.09754e-09,-1.0914e-11,1.04615e-09,-179.436,478
-1.10459e-09,-1.18235e-11,1.0532e-09,-179.388,477
-1.11459e-09,-1.29604e-11,1.06321e-09,-179.346,476
-1.12778e-09,-1.34151e-11,1.07662e-09,-179.322,475
-1.14529e-09,-1.34151e-11,1.09458e-09,-179.334,474
-1.16598e-09,-1.36425e-11,1.11527e-09,-179.334,473
-1.18849e-09,-1.25056e-11,1.13801e-09,-179.4,472
-1.21691e-09,-1.25056e-11,1.16643e-09,-179.412,471
-1.24806e-09,-1.15961e-11,1.19781e-09,-179.484,470
-1.26921e-09,-1.00045e-11,1.21828e-09,-179.556,469
-1.28649e-09,-8.41288e-12,1.23624e-09,-179.628,468
-1.33083e-09,-6.59386e-12,1.28126e-09,-179.718,467
-1.37766e-09,-5.68437e-12,1.32787e-09,-179.778,466
-1.43041e-09,-4.09275e-12,1.38107e-09,-179.838,465
-1.48612e-09,-2.95587e-12,1.43701e-09,-179.898,464
-1.54797e-09,-9.09502e-13,1.49954e-09,-179.97,463
-1.618e-09,-2.27375e-13,1.56843e-09,180.0,462
-1.6878e-09,9.09502e-13,1.63892e-09,179.964,461
-1.75192e-09,1.13688e-12,1.70258e-09,179.964,460
-1.81627e-09,6.82124e-13,1.76761e-09,179.976,459
-1.88676e-09,2.27375e-13,1.8381e-09,179.988,458
-1.95679e-09,-6.82124e-13,1.90836e-09,-179.982,457
-2.02932e-09,-2.50112e-12,1.98067e-09,-179.928,456
-2.09958e-09,-5.00225e-12,2.0507e-09,-179.868,455
-2.16643e-09,-6.59386e-12,2.11755e-09,-179.826,454
-2.23214e-09,-8.64026e-12,2.18303e-09,-179.784,453
-2.29922e-09,-1.13687e-11,2.25033e-09,-179.724,452
-2.35742e-09,-1.34151e-11,2.30786e-09,-179.676,451
-2.40767e-09,-1.56889e-11,2.35811e-09,-179.628,450
-2.4536e-09,-1.75079e-11,2.40335e-09,-179.592,449
-2.48976e-09,-1.88721e-11,2.43951e-09,-179.574,448
-2.56024e-09,-2.06911e-11,2.51045e-09,-179.544,447
-2.59026e-09,-2.06911e-11,2.53955e-09,-179.544,446
-2.60594e-09,-2.06911e-11,2.55456e-09,-179.55,445
-2.6114e-09,-2.0009e-11,2.55956e-09,-179.562,444
-2.60458e-09,-1.88721e-11,2.55251e-09,-179.592,443
-2.59026e-09,-1.6371e-11,2.5375e-09,-179.646,442
-2.56524e-09,-1.34151e-11,2.51227e-09,-179.7,441
